Jamie Vardy,eng ENG,FW,37,35,35.1,"2,823",31.4,9,4,13,8,1,2,5,0
James Justin,eng ENG,DF,26.0,36,34,"2,912",32.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0
Wout Faes,be BEL,DF,26.0,34,30,"2,815",31.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0
Victor Bernth Kristiansen,dk DEN,DF,21.0,30,29,"2,482",27.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Wilfred Ndidi,ng NGA,MF,27.0,28,28,"2,324",25.8,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0
Mads Hermansen,dk DEN,GK,24.0,27,27,"2,385",26.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bilal El Khannouss,ma MAR,"MF,FW",20.0,32,27,"2,182",24.2,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0
Boubakary Soumaré,fr FRA,MF,25.0,31,25,"2,171",24.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Conor Coady,eng ENG,DF,31.0,22,19,"1,714",19.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0
Jordan Ayew,gh GHA,"FW,MF",32.0,30,19,"1,638",18.2,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0
Harry Winks,eng ENG,MF,28.0,22,17,"1,538",17.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0
Stephy Mavididi,eng ENG,FW,26.0,30,16,"1,615",17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0
Jannik Vestergaard,dk DEN,DF,31.0,18,16,"1,391",15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Facundo Buonanotte,ar ARG,"FW,MF",19.0,31,14,"1,523",16.9,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0
Luke Thomas,eng ENG,DF,23.0,14,13,"1,110",12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Caleb Okoli,it ITA,DF,23.0,19,12,"1,125",12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0
Oliver Skipp,eng ENG,MF,23.0,24,10,"1,129",12.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Jakub Stolarczyk,pl POL,GK,23.0,10,10,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kasey McAteer,ie IRL,FW,22.0,18,9,852,9.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0
Bobby De Cordova-Reid,jm JAM,FW,31.0,23,9,744,8.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0
Patson Daka,zm ZAM,"FW,MF",25.0,23,6,736,8.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Abdul Fatawu Issahaku,gh GHA,FW,20.0,11,6,579,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Ricardo Pereira,pt POR,DF,30.0,10,4,388,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Danny Ward,wls WAL,GK,31.0,2,1,135,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamza Choudhury,bd BAN,"MF,DF",26.0,4,1,131,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woyo Coulibaly,ml MLI,DF,25.0,4,1,109,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jeremy Monga,0,"FW,MF",15.0,7,0,112,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odsonne Édouard,fr FRA,FW,26.0,4,0,29,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Evans,0,FW,0.0,4,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olabade Aluko,0,DF,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Alves,eng ENG,FW,19.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Golding,eng ENG,MF,18.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sammy Braybrooke,eng ENG,MF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Cannon,ie IRL,FW,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Cartwright,eng ENG,MF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Iversen,dk DEN,GK,27.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Nelson,eng ENG,DF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Wilson-Brown,eng ENG,DF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
